Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
ELF4	0	0	0	0	1	0	0	1	1	1
ELL	0	0	0	0	1	0	0	1	1	1
ELMOD1	0	0	0	0	1	0	0	1	1	1
ELN	0	0	0	0	0	0	1	1	1	1
ENC1	0	0	0	0	1	0	0	1	1	1
ENTPD1	0	0	0	0	1	0	0	1	1	1
EPB41L3	0	1	0	0	0	0	0	1	1	1
EPB41L5	0	0	0	0	1	0	0	1	1	1
EPGN	0	0	0	0	1	0	0	1	1	1
EPHA10	0	0	0	0	1	0	0	1	1	1
EPHA2	0	0	0	0	1	0	0	1	1	1
EPHA3	0	0	0	0	1	0	0	1	1	1
EPHA8	0	0	0	0	1	0	0	1	1	1
EPHB1	0	0	0	0	0	1	0	1	1	1
ESCO2	0	0	0	0	1	0	0	1	1	1
ETF1	0	0	0	0	1	0	0	1	1	1
ETV3	0	0	0	0	1	0	0	1	1	1
EWSR1	0	0	0	0	0	0	1	1	1	1
EXD1	0	0	0	0	0	1	0	1	1	1
EYA4	0	0	0	0	1	0	0	1	1	1
EZR	0	0	0	0	1	0	0	1	1	1
FAM115A	0	0	0	0	1	0	0	1	1	1
FAM123A	0	0	0	0	1	0	0	1	1	1
FAM171A1	0	0	0	0	1	0	0	1	1	1
FAM194A	0	0	0	0	1	0	0	1	1	1
FAM19A4	0	0	0	0	1	0	0	1	1	1
FAM47A	0	0	0	0	1	0	0	1	1	1
FAM48A	0	0	0	0	1	0	0	1	1	1
FAM90A1	1	0	0	0	0	0	0	1	1	1
FANCC	0	0	0	0	1	0	0	1	1	1
FANCI	0	0	0	0	1	0	0	1	1	1
FANCM	0	0	0	0	1	0	0	1	1	1
FAT1	0	0	0	0	1	0	0	1	1	1
FAT2	0	0	0	0	1	0	0	1	1	1
FAT4	0	0	0	0	1	0	0	1	1	1
FBN1	0	0	0	0	1	0	0	1	1	1
FBXO11	0	1	0	0	0	0	0	1	1	1
FBXO30	0	0	0	0	1	0	0	1	1	1
FCHSD1	0	0	0	0	0	0	1	1	1	1
FEZF2	0	0	0	0	1	0	0	1	1	1
FGD6	0	0	0	0	1	0	0	1	1	1
FGL2	0	0	0	0	1	0	0	1	1	1
FILIP1	0	0	0	0	0	1	0	1	1	1
FKBP8	0	0	0	0	1	0	0	1	1	1
FKTN	0	0	0	0	0	0	1	1	1	1
FLG	0	0	0	0	1	0	0	1	1	1
FLRT2	0	0	0	0	1	0	0	1	1	1
FLT1	0	0	0	0	1	0	0	1	1	1
FN1	0	0	0	0	0	1	0	1	1	1
FNDC1	0	0	0	0	1	0	0	1	1	1
FNIP2	0	0	0	0	1	0	0	1	1	1
FOXP4	0	1	0	0	0	0	0	1	1	1
FREM2	0	0	0	0	1	0	0	1	1	1
FRZB	0	0	0	0	1	0	0	1	1	1
FSD2	0	0	0	0	1	0	0	1	1	1
FZD1	0	0	0	0	1	0	0	1	1	1
G6PC	0	0	0	0	1	0	0	1	1	1
GABBR1	0	0	0	0	1	0	0	1	1	1
GABRA4	0	0	0	0	1	0	0	1	1	1
GABRB1	0	0	0	0	1	0	0	1	1	1
GABRG2	0	0	0	0	1	0	0	1	1	1
GABRR1	0	0	0	0	1	0	0	1	1	1
GALNT2	0	0	0	0	0	0	1	1	1	1
GANC	0	0	0	0	1	0	0	1	1	1
GATAD2B	0	0	0	0	0	1	0	1	1	1
GBP1	0	0	0	0	1	0	0	1	1	1
GCLM	0	0	0	0	1	0	0	1	1	1
GCM2	0	0	0	0	1	0	0	1	1	1
GCN1L1	0	0	0	0	1	0	0	1	1	1
GDF10	0	0	0	0	1	0	0	1	1	1
GDPD4	0	0	0	0	0	1	0	1	1	1
GDPD5	0	0	0	0	1	0	0	1	1	1
GEMIN4	0	0	0	0	1	0	0	1	1	1
