"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006910","GO:0006910","phagocytosis, recognition","20/411","56/5021",5.74230352978349e-09,1.69084737572443e-06,1.53531062796316e-06,"IGHG1/IGKC/IGLC2/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/IGHV1-3/IGHV3-7/SPON2",20
"GO:0001895","GO:0001895","retina homeostasis","13/411","25/5021",1.28885170945657e-08,3.47882557244152e-06,3.15881725984356e-06,"ACTG1/B2M/LTF/ACTB/IGKC/AZGP1/HSPB1/IGHG3/JCHAIN/LYZ/IGHA1/IGHA2/PIP",13
"GO:0050867","GO:0050867","positive regulation of cell activation","38/411","177/5021",1.6527609452324e-08,4.11791746277517e-06,3.73912071334357e-06,"XBP1/CD24/B2M/LGALS1/CD74/HLA-DRA/JUND/IGHG1/RPS3/IGKC/CD177/IGLC2/CCN2/IGHV3-30/MDK/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/VAMP8/CCL2/CDKN1A/HLA-DRB5/CAV1/HLA-A",38
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","37/411","173/5021",2.87487129879331e-08,6.65122009770824e-06,6.03939128483346e-06,"XBP1/CD24/B2M/LGALS1/CD74/HLA-DRA/JUND/IGHG1/RPS3/IGKC/CD177/IGLC2/IGHV3-30/MDK/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/VAMP8/CCL2/CDKN1A/HLA-DRB5/CAV1/HLA-A",37
"GO:0050871","GO:0050871","positive regulation of B cell activation","22/411","74/5021",4.71143750413799e-08,1.0173564050602e-05,9.23772378004318e-06,"XBP1/CD74/IGHG1/IGKC/IGLC2/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/IGHV1-3/IGHV3-7/CDKN1A",22
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","34/411","155/5021",5.59307987935888e-08,1.13224910807771e-05,1.02809639361373e-05,"XBP1/CD24/B2M/LGALS1/CD74/HLA-DRA/IGHG1/RPS3/IGKC/IGLC2/IGHV3-30/MDK/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/CCL2/CDKN1A/HLA-DRB5/CAV1/HLA-A",34
"GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen","9/411","13/5021",8.06393712248151e-08,1.45031168565014e-05,1.31690120397995e-05,"B2M/CD74/HLA-DRA/HLA-C/AZGP1/HLA-DRB1/HLA-B/HLA-E/HLA-A",9
"GO:0019730","GO:0019730","antimicrobial humoral response","18/411","53/5021",8.32116626559344e-08,1.45031168565014e-05,1.31690120397995e-05,"KLK3/LTF/RPS19/RPL30/GAPDH/IGHM/IGKV3-20/JCHAIN/LYZ/IGHA1/IGHA2/HLA-E/SEMG1/WFDC2/SEMG2/SPON2/WFDC5/HLA-A",18
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","26/411","102/5021",9.26456635711307e-08,1.45031168565014e-05,1.31690120397995e-05,"B2M/CD74/CLU/HLA-DRA/IGHG1/IGKC/IGLC2/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/HLA-DRB5",26
"GO:0019724","GO:0019724","B cell mediated immunity","26/411","102/5021",9.26456635711307e-08,1.45031168565014e-05,1.31690120397995e-05,"B2M/CD74/CLU/HLA-DRA/IGHG1/IGKC/IGLC2/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/HLA-DRB5",26
"GO:0019731","GO:0019731","antibacterial humoral response","14/411","33/5021",9.40307051517537e-08,1.45031168565014e-05,1.31690120397995e-05,"KLK3/LTF/IGHM/IGKV3-20/JCHAIN/IGHA1/IGHA2/HLA-E/SEMG1/WFDC2/SEMG2/SPON2/WFDC5/HLA-A",14
"GO:0006958","GO:0006958","complement activation, classical pathway","20/411","66/5021",1.37193676738118e-07,1.95738795626182e-05,1.77733281870477e-05,"CLU/IGHG1/IGKC/IGLC2/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/IGHV1-3/IGHV3-7",20
"GO:0002443","GO:0002443","leukocyte mediated immunity","35/411","168/5021",1.38993278771293e-07,1.95738795626182e-05,1.77733281870477e-05,"B2M/CD74/CLU/HLA-DRA/IGHG1/IGKC/CD177/TUBB4B/IGLC2/AZGP1/IGHV3-30/BST2/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/HLA-B/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/VAMP8/HLA-DRB5/CHGA/SPON2/HLA-A",35
"GO:0006956","GO:0006956","complement activation","21/411","73/5021",1.79686131479452e-07,2.42501408275811e-05,2.20194320769118e-05,"CLU/IGHG1/IGKC/IGLC2/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/IGHV1-3/IGHV3-7/CFD",21
"GO:0002252","GO:0002252","immune effector process","44/411","242/5021",2.19182146097491e-07,2.83972388483909e-05,2.57850491030059e-05,"KLK3/XBP1/B2M/LGALS1/CD74/CLU/HLA-DRA/RPS19/IGHG1/RPS6/IGKC/CD177/TMBIM6/TUBB4B/IGLC2/AZGP1/IGHV3-30/MDK/BST2/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/HLA-B/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/VAMP8/TCIM/HLA-DRB5/CHGA/SPON2/CFD/HLA-A",44
"GO:0050864","GO:0050864","regulation of B cell activation","23/411","88/5021",3.19689018385282e-07,3.98258742519203e-05,3.61623934157278e-05,"XBP1/CD74/IGHG1/IGKC/IGLC2/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/IGHV1-3/IGHV3-7/CDKN1A/ZFP36L1",23
"GO:0002455","GO:0002455","humoral immune response mediated by circulating immunoglobulin","20/411","70/5021",4.00990829346058e-07,4.8104048009329e-05,4.36790790328611e-05,"CLU/IGHG1/IGKC/IGLC2/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/IGHV1-3/IGHV3-7",20
"GO:0002449","GO:0002449","lymphocyte mediated immunity","30/411","140/5021",5.98895558468746e-07,6.9279382638581e-05,6.29065485098375e-05,"B2M/CD74/CLU/HLA-DRA/IGHG1/IGKC/TUBB4B/IGLC2/AZGP1/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/HLA-B/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/HLA-DRB5/HLA-A",30
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen","8/411","12/5021",6.96684907781736e-07,7.7812497113967e-05,7.06547234969935e-05,"B2M/HLA-DRA/HLA-C/AZGP1/HLA-DRB1/HLA-B/HLA-E/HLA-A",8
"GO:0002440","GO:0002440","production of molecular mediator of immune response","27/411","121/5021",9.61668459458645e-07,0.000103828138006218,9.42772517799107e-05,"KLK3/XBP1/B2M/CD74/HLA-DRA/IGKC/TMBIM6/IGLV3-19/IGLV1-44/BST2/IGKV3-20/IGLV2-14/HLA-DRB1/IGLV1-40/IGLV3-21/IGKV3-15/IGKV1-5/IGKV2-30/IGLV2-11/IGLV3-25/HLA-E/IGKV1-6/IGLV2-23/IGKV1-16/HLA-DRB5/SPON2/HLA-A",27
"GO:0050853","GO:0050853","B cell receptor signaling pathway","19/411","68/5021",1.1476074861224e-06,0.000119906472501627,0.000108876581196128,"IGHG1/IGKC/IGLC2/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/IGHV1-3/IGHV3-7",19
"GO:0098542","GO:0098542","defense response to other organism","57/411","371/5021",1.27237401423911e-06,0.000128788107253764,0.000116941216966581,"HSP90AA1/ACTG1/RPL13A/KLK3/HSP90AB1/CD74/LTF/CLU/IFITM3/HLA-C/PLA2G2A/CRISP3/RPS19/IGHG1/IGKC/CD177/GP2/TUBB4B/IGLC2/IFI6/RPL30/GAPDH/IGHV3-30/ISG15/BST2/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGKV3-20/JCHAIN/IGHV3-73/IGHV4-4/IGHV4-34/HLA-B/LYZ/IGHA1/IGHV3-23/LCN2/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/VAMP8/SEC61A1/CCL2/SEMG1/WFDC2/SEMG2/CHGA/SPON2/CFD/WFDC5/HLA-A",57
"GO:0099024","GO:0099024","plasma membrane invagination","20/411","75/5021",1.35212137232764e-06,0.000132712761362704,0.000120504852130253,"IGHG1/IGKC/IGLC2/IGHV3-30/ARF1/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/IGHV1-3/IGHV3-7",20
"GO:0051249","GO:0051249","regulation of lymphocyte activation","37/411","201/5021",1.57928708546497e-06,0.000149039324721131,0.000135329576467994,"XBP1/CD24/B2M/LGALS1/CD74/HLA-DRA/IGHG1/SDC4/RPS3/IGKC/IGLC2/SCGB1A1/IGHV3-30/MDK/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/CCL2/CDKN1A/HLA-DRB5/ZFP36L1/CAV1/HLA-A",37
"GO:0002694","GO:0002694","regulation of leukocyte activation","41/411","234/5021",1.61048977006471e-06,0.000149039324721131,0.000135329576467994,"XBP1/CD24/B2M/LGALS1/CD74/HLA-DRA/PLA2G2A/JUND/IGHG1/SDC4/RPS3/IGKC/CD177/IGLC2/SCGB1A1/IGHV3-30/MDK/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/VAMP8/CCL2/CDKN1A/HLA-DRB5/ZFP36L1/CAV1/HLA-A",41
"GO:0001775","GO:0001775","cell activation","59/411","394/5021",1.93599752863016e-06,0.000174185999867585,0.000158163072953002,"ACTG1/XBP1/CD24/B2M/TIMP1/MYL9/LGALS1/CD74/CLU/FLNA/HLA-DRA/ACTB/MT1G/PLA2G2A/JUND/IGHG1/RPS6/SDC4/RPS3/IGKC/CD177/IGLC2/SCGB1A1/EGR1/CCN2/PLAT/IGHV3-30/HSPB1/MDK/BST2/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/VAMP8/CCL2/CDKN1A/TCIM/HLA-DRB5/ZFP36L1/CHGA/FN1/COL3A1/CAV1/HLA-A/GNAS",59
"GO:0002377","GO:0002377","immunoglobulin production","22/411","90/5021",1.99622728031743e-06,0.000174750815160761,0.000158675932324521,"XBP1/B2M/HLA-DRA/IGKC/TMBIM6/IGLV3-19/IGLV1-44/IGKV3-20/IGLV2-14/HLA-DRB1/IGLV1-40/IGLV3-21/IGKV3-15/IGKV1-5/IGKV2-30/IGLV2-11/IGLV3-25/HLA-E/IGKV1-6/IGLV2-23/IGKV1-16/HLA-DRB5",22
"GO:0001916","GO:0001916","positive regulation of T cell mediated cytotoxicity","7/411","10/5021",2.26411373782503e-06,0.000192985905179349,0.000175233622811167,"B2M/HLA-DRA/AZGP1/HLA-DRB1/HLA-B/HLA-E/HLA-A",7
"GO:0045087","GO:0045087","innate immune response","49/411","307/5021",2.54221812544465e-06,0.00020967674681626,0.000190389116395453,"HSP90AA1/ACTG1/RPL13A/HSP90AB1/CD74/LTF/CLU/IFITM3/HLA-C/CRISP3/RPS19/IGHG1/IGKC/CD177/GP2/TUBB4B/IGLC2/IFI6/GAPDH/IGHV3-30/ISG15/BST2/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/JCHAIN/IGHV3-73/IGHV4-4/IGHV4-34/HLA-B/IGHA1/IGHV3-23/LCN2/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/SEC61A1/CCL2/WFDC2/CHGA/SPON2/CFD/WFDC5/HLA-A",49
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","12/411","31/5021",2.58940101038913e-06,0.00020967674681626,0.000190389116395453,"RPS8/RPS15/RPS21/RPS5/RPS27/RPS28/RPS25/RPS19/RPSA/RPS6/RPS16/RPS7",12
"GO:0006911","GO:0006911","phagocytosis, engulfment","19/411","72/5021",2.96154903661235e-06,0.000233962373892375,0.000212440770431191,"IGHG1/IGKC/IGLC2/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/IGHV1-3/IGHV3-7",19
"GO:0010324","GO:0010324","membrane invagination","20/411","79/5021",3.27777378415913e-06,0.000252778792545034,0.00022952631461004,"IGHG1/IGKC/IGLC2/IGHV3-30/ARF1/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/IGHV1-3/IGHV3-7",20
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","29/411","144/5021",3.54122070533604e-06,0.000266744508478685,0.000242207359870475,"B2M/CD74/CLU/HLA-DRA/IGHG1/IGKC/IGLC2/AZGP1/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/HLA-B/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/HLA-DRB5/HLA-A",29
"GO:0002684","GO:0002684","positive regulation of immune system process","52/411","338/5021",3.7818501089502e-06,0.000278395738702038,0.000252786823071934,"HSP90AA1/KLK3/CALR/FOS/XBP1/CD24/B2M/LGALS1/CD74/CLU/HLA-DRA/JUN/JUND/RPS19/IGHG1/RPS3/IGKC/CD177/IGLC2/AZGP1/IGHV3-30/MDK/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/HLA-B/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/VAMP8/CCL2/CDKN1A/CA2/HLA-DRB5/ZFP36L1/AQP3/SPON2/CFD/PTN/CAV1/HLA-A",52
"GO:0042254","GO:0042254","ribosome biogenesis","26/411","123/5021",4.51178636699412e-06,0.000323122710224637,0.000293399474291167,"RPS8/RPL24/RPS15/RPL35/RPS21/RPL35A/RPS5/RPL3/RPS27/RPL11/RPL10A/RPS28/RPS25/RPLP0/RPS19/RPSA/RPL5/RPS6/RPS16/RPL10/NOP10/RPL23A/RPL14/RPS7/RPL27/RPL7A",26
"GO:0050865","GO:0050865","regulation of cell activation","42/411","252/5021",4.58896099732427e-06,0.000323122710224637,0.000293399474291167,"XBP1/CD24/B2M/LGALS1/CD74/HLA-DRA/PLA2G2A/JUND/IGHG1/SDC4/RPS3/IGKC/CD177/IGLC2/SCGB1A1/CCN2/IGHV3-30/MDK/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/VAMP8/CCL2/CDKN1A/HLA-DRB5/ZFP36L1/CAV1/HLA-A",42
"GO:0050778","GO:0050778","positive regulation of immune response","36/411","206/5021",7.67579984530267e-06,0.000528976929764582,0.0004803176879681,"HSP90AA1/KLK3/XBP1/B2M/CD74/CLU/HLA-DRA/RPS19/IGHG1/RPS3/IGKC/CD177/IGLC2/AZGP1/IGHV3-30/IGHM/IGHV4-39/IGHG4/IGHG3/IGHV5-51/HLA-DRB1/IGHV3-73/IGHV4-4/IGHV4-34/HLA-B/IGHA1/IGHV3-23/IGHA2/IGHG2/IGLC3/HLA-E/IGHV1-3/IGHV3-7/VAMP8/CFD/HLA-A",36
"GO:0052547","GO:0052547","regulation of peptidase activity","35/411","198/5021",7.94066107648198e-06,0.000535829192223441,0.00048653962823883,"PEBP1/TIMP1/LTF/PRDX5/CCN1/CLDN4/CLDN3/NR4A1/RPS3/SPINK1/RACK1/PI15/CCN2/IFI6/APLP2/PSME1/GAPDH/BEX3/BST2/CST2/CST3/SEMG1/WFDC2/SEMG2/PTGS2/SPINK2/SERPINA5/CST1/FN1/SPOCK2/AGT/WFDC5/CAV1/GPX1/SFN",35
"GO:0042255","GO:0042255","ribosome assembly","13/411","40/5021",9.50109363288057e-06,0.000628041679120411,0.000570269723099212,"RPL24/RPS15/RPS5/RPL3/RPS27/RPL11/RPS28/RPLP0/RPS19/RPSA/RPL5/RPL10/RPL23A",13
