"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033218","GO:0033218","amide binding","21/403","144/5050",0.00467389902879108,0.0600286354197668,0.0534668007787397,"PSAP/CALR/HSP90AB1/CD74/CLU/HLA-DRA/HLA-C/ANPEP/GNMT/FASN/KDELR2/CLSTN1/HLA-DRB1/HLA-B/HLA-E/SEC61A1/SRP14/CLTA/CST3/HLA-DRB5/HLA-A",21
"GO:0005539","GO:0005539","glycosaminoglycan binding","16/403","99/5050",0.00474585365498156,0.0600286354197668,0.0534668007787397,"LTF/CCN1/RPL29/CCN2/APLP2/MMP7/MDK/IGHM/JCHAIN/LPL/SERPINA5/PODXL2/PTN/FN1/SPOCK2/FSTL1",16
"GO:0005506","GO:0005506","iron ion binding","9/403","42/5050",0.00498893223067417,0.0614426390514608,0.0547262372118274,"CALR/CYP1B1/FTL/LTF/ALOX15B/SCD/LCN2/CYP27A1/CYP4F8",9
"GO:0031386","GO:0031386","protein tag","4/403","10/5050",0.00569135981868365,0.0682963178242038,0.0608307284264163,"RPS27A/UBB/ISG15/UBA52",4
"GO:0048027","GO:0048027","mRNA 5'-UTR binding","5/403","16/5050",0.00658839575304614,0.0770842303106398,0.068658018900165,"RPS13/RPS3A/RPL5/RPS7/RPL41",5
"GO:0140678","GO:0140678","molecular function inhibitor activity","10/403","53/5050",0.0081113644661553,0.0925882578087971,0.0824672741616817,"RPS15/RPL23/RPL11/RPL5/TMBIM6/SCGB1A1/RACK1/RPS7/TXNIP/CAV1",10
"GO:0051787","GO:0051787","misfolded protein binding","5/403","17/5050",0.008733427603683,0.0973153361553248,0.0866776273448237,"HSPA8/HSPA5/CLU/HSPA6/HSPA1B",5
"GO:0004869","GO:0004869","cysteine-type endopeptidase inhibitor activity","6/403","25/5050",0.0119359260179227,0.127555779983177,0.113612435612546,"LTF/PRDX5/CST2/CST3/WFDC2/CST1",6
"GO:0045296","GO:0045296","cadherin binding","27/403","216/5050",0.0120723130694756,0.127555779983177,0.113612435612546,"YWHAE/RPL24/S100A11/ENO1/RPL34/HSP90AB1/HSPA8/KRT18/HSPA5/PFN1/FLNA/RPS2/EEF2/FASN/HDLBP/RACK1/RPL29/RPL23A/PDLIM5/RPL14/EIF4G2/S100P/RPL7A/CDH1/CALD1/SFN/CORO1B",27
"GO:0015453","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","9/403","48/5050",0.0122649788445362,0.127555779983177,0.113612435612546,"COX8A/NDUFB7/ND1/ND6/NDUFS5/ND4L/NDUFA1/ND2/ND5",9
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity","8/403","41/5050",0.0141011848588103,0.140274072262001,0.124940469221215,"PEBP1/SPINK1/APLP2/WFDC2/SPINK2/SERPINA5/AGT/WFDC5",8
"GO:0016504","GO:0016504","peptidase activator activity","5/403","19/5050",0.0143752470360966,0.140274072262001,0.124940469221215,"RACK1/PSME1/BEX3/FN1/CAV1",5
"GO:0016836","GO:0016836","hydro-lyase activity","6/403","26/5050",0.0145005515509191,0.140274072262001,0.124940469221215,"ENO1/CYP1B1/FASN/CA3/CA2/ECHS1",6
"GO:0008201","GO:0008201","heparin binding","12/403","75/5050",0.0146868152582009,0.140274072262001,0.124940469221215,"LTF/CCN1/RPL29/CCN2/APLP2/MMP7/MDK/LPL/SERPINA5/PTN/FN1/FSTL1",12
"GO:0003785","GO:0003785","actin monomer binding","4/403","13/5050",0.0159909618368764,0.146460485327454,0.130450634704615,"TMSB10/TMSB4X/PFN1/MYL2",4
"GO:0004175","GO:0004175","endopeptidase activity","17/403","122/5050",0.0160354970453778,0.146460485327454,0.130450634704615,"CAPNS1/KLK2/KLK3/TMPRSS2/LTF/KLK4/PRSS8/MMP7/PLAT/KLK11/SEC11C/KLK14/PDIA3/PIP/KLK12/CFD/MIPEP",17
"GO:0015399","GO:0015399","primary active transmembrane transporter activity","13/403","85/5050",0.016273387258606,0.146460485327454,0.130450634704615,"COX8A/NDUFB7/ND1/ND6/NDUFS5/ND4L/NDUFA1/ND2/ABCC4/ND5/ATP6V1G1/SLC26A3/ATP5F1B",13
"GO:0002020","GO:0002020","protease binding","11/403","69/5050",0.0195575499639365,0.172696856285326,0.153819062278428,"PSAP/TIMP1/COL1A2/CD177/LCN2/CST3/SEMG2/SERPINA5/FN1/COL3A1/COL1A1",11
"GO:0003729","GO:0003729","mRNA binding","18/403","135/5050",0.0204635801970182,0.17681641196107,0.15748830215156,"RPS13/RPL24/RPL13A/RPL35/CALR/RPS5/ZFP36/RPS3A/RPS2/RPL5/YBX1/RPS3/HDLBP/PABPC1/RPS7/EIF4G2/ZFP36L1/RPL41",18
"GO:0005246","GO:0005246","calcium channel regulator activity","4/403","14/5050",0.0210071449179028,0.17681641196107,0.15748830215156,"YWHAE/NPY/TSPAN13/GNB2",4
"GO:0005201","GO:0005201","extracellular matrix structural constituent","13/403","88/5050",0.0212873639731281,0.17681641196107,0.15748830215156,"SPARC/COL1A2/AEBP1/CCN1/GP2/IGFBP7/FMOD/MGP/MUC6/COL9A2/FN1/COL3A1/COL1A1",13
"GO:0050840","GO:0050840","extracellular matrix binding","7/403","36/5050",0.0215353322260277,0.17681641196107,0.15748830215156,"SPARC/LGALS1/CCN1/RPSA/BCAM/SPOCK2/SPARCL1",7
"GO:0044325","GO:0044325","transmembrane transporter binding","9/403","53/5050",0.0227878648981206,0.183874496074491,0.16377485480319,"YWHAE/S100A10/HSP90AB1/FLNA/TCAP/TSPO/YWHAQ/CAV1/FHL1",9
"GO:0016829","GO:0016829","lyase activity","10/403","62/5050",0.023573950091839,0.186993366830181,0.166552796366963,"TPI1/ENO1/CYP1B1/ODC1/GLO1/FASN/RPS3/CA3/CA2/ECHS1",10
"GO:0030291","GO:0030291","protein serine/threonine kinase inhibitor activity","4/403","15/5050",0.0268855580389597,0.202942599390857,0.180758590550561,"PPP1R1B/HSPB1/CDKN1A/SFN",4
"GO:0042287","GO:0042287","MHC protein binding","4/403","15/5050",0.0268855580389597,0.202942599390857,0.180758590550561,"CD74/TUBB4B/HLA-E/ATP5F1B",4
"GO:0071889","GO:0071889","14-3-3 protein binding","4/403","15/5050",0.0268855580389597,0.202942599390857,0.180758590550561,"ZFP36/ZFP36L1/YWHAQ/SYNPO2",4
"GO:0003779","GO:0003779","actin binding","23/403","190/5050",0.0276390365903714,0.205318557528473,0.182874828567871,"TMSB10/P4HB/TMSB4X/TAGLN/PFN1/CNN1/MYH11/TPM2/FLNA/LMOD1/EEF2/MARCKSL1/PDLIM5/MYL2/TNNC1/MYH7/MYH3/PIP/DSTN/CALD1/SYNPO2/TPM1/CORO1B",23
"GO:0097110","GO:0097110","scaffold protein binding","6/403","30/5050",0.0285596876129293,0.208842715669546,0.186013754847369,"YWHAE/HSP90AA1/PSAP/KRT18/KRT15/KRT8",6
"GO:0043021","GO:0043021","ribonucleoprotein complex binding","11/403","76/5050",0.0372954643591864,0.268319522482128,0.238989048364648,"RPLP1/RPN2/HSPA5/NEAT1/RPSA/EEF2/SNRPD2/RACK1/SEC61A1/SEC61B/EIF5A",11
"GO:0004601","GO:0004601","peroxidase activity","5/403","24/5050",0.037839932657736,0.268319522482128,0.238989048364648,"GPX4/PRDX5/PTGS2/GSTA1/GPX1",5
"GO:0008191","GO:0008191","metalloendopeptidase inhibitor activity","3/403","10/5050",0.0396586195479178,0.268988897803269,0.239585253104126,"TIMP1/BST2/SPOCK2",3
"GO:0042288","GO:0042288","MHC class I protein binding","3/403","10/5050",0.0396586195479178,0.268988897803269,0.239585253104126,"TUBB4B/HLA-E/ATP5F1B",3
"GO:0048407","GO:0048407","platelet-derived growth factor binding","3/403","10/5050",0.0396586195479178,0.268988897803269,0.239585253104126,"COL1A2/COL3A1/COL1A1",3
"GO:0048156","GO:0048156","tau protein binding","4/403","17/5050",0.0413183099385457,0.276242415017705,0.246045875724272,"HSP90AA1/HSP90AB1/CLU/ACTB",4
"GO:0016491","GO:0016491","oxidoreductase activity","33/403","308/5050",0.0470204568918722,0.309220807483846,0.275419342698162,"COX8A/TXN/NDUFB7/P4HB/ND1/GPX4/ND6/NDUFS5/ND4L/CYP1B1/RDH11/NDUFA1/ND2/PRDX5/ALOX15B/MAOB/SCD/FASN/ABCC4/ND5/DCXR/GAPDH/PTGR1/STEAP1/PDIA3/CYP27A1/CYP4F8/PTGS2/PDIA4/GSTA1/GMPR/ACAD8/GPX1",33
"GO:0019838","GO:0019838","growth factor binding","11/403","79/5050",0.0475724319205917,0.309220807483846,0.275419342698162,"COL1A2/CCN1/RPS19/RPS2/IGFBP7/CCN2/SEC61B/DUSP1/PTN/COL3A1/COL1A1",11
"GO:0045182","GO:0045182","translation regulator activity","9/403","61/5050",0.0509815109868262,0.324978008480198,0.289454096622039,"RPS9/EEF1A1/EEF1B2/RPL10/EEF1A2/EEF2/PABPC1/EIF4G2/EIF5A",9
"GO:0000146","GO:0000146","microfilament motor activity","3/403","11/5050",0.0513854115972962,0.324978008480198,0.289454096622039,"MYH7/MYH3/MYL6",3
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","5/403","27/5050",0.0591398220895051,0.369032489838512,0.328692905929039,"GPX4/PRDX5/PTGS2/GSTA1/GPX1",5
"GO:0051082","GO:0051082","unfolded protein binding","9/403","63/5050",0.0605571479222537,0.372904542468615,0.332141697745325,"HSP90AA1/CALR/HSP90AB1/HSPA8/HSPA5/CLU/TUBB4B/HSPA6/HSPA1B",9
"GO:0004860","GO:0004860","protein kinase inhibitor activity","6/403","36/5050",0.0627822222586016,0.373131270381174,0.332343641635053,"RACK1/PPP1R1B/HSPB1/SOCS3/CDKN1A/SFN",6
"GO:0098631","GO:0098631","cell adhesion mediator activity","6/403","36/5050",0.0627822222586016,0.373131270381174,0.332343641635053,"S100A11/KRT18/RPSA/PDLIM5/VSTM2L/BCAM",6
"GO:0003756","GO:0003756","protein disulfide isomerase activity","3/403","12/5050",0.064580412181357,0.373131270381174,0.332343641635053,"P4HB/PDIA3/PDIA4",3
"GO:0004602","GO:0004602","glutathione peroxidase activity","3/403","12/5050",0.064580412181357,0.373131270381174,0.332343641635053,"GPX4/GSTA1/GPX1",3
"GO:0016864","GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds","3/403","12/5050",0.064580412181357,0.373131270381174,0.332343641635053,"P4HB/PDIA3/PDIA4",3
"GO:0019901","GO:0019901","protein kinase binding","27/403","251/5050",0.0654172161438914,0.373356794577331,0.332544513388716,"HSP90AA1/PEBP1/HSP90AB1/CD24/ND2/ACTA2/FLNA/EEF1A1/ACTB/ZFP36/RPS19/RPS6/EEF1A2/EEF2/SDC4/RPS3/RACK1/PDLIM5/HSPB1/RPS7/CDKN1A/ERRFI1/RHOB/DUSP1/PTN/CAV1/SFN",27
"GO:0005080","GO:0005080","protein kinase C binding","5/403","28/5050",0.0674897408609258,0.376014270510872,0.334911496001587,"FLNA/SDC4/RACK1/PDLIM5/HSPB1",5
"GO:0016860","GO:0016860","intramolecular oxidoreductase activity","5/403","28/5050",0.0674897408609258,0.376014270510872,0.334911496001587,"TPI1/P4HB/PDIA3/PDIA4/GSTA1",5
"GO:0008092","GO:0008092","cytoskeletal protein binding","37/403","363/5050",0.0684564719625824,0.376913280923395,0.335712234020838,"HSP90AA1/TMSB10/P4HB/TMSB4X/HSP90AB1/DES/TAGLN/PFN1/MYL9/CNN1/MYH11/TPM2/CLU/FLNA/LMOD1/ACTB/EEF2/RPS3/CLSTN1/MARCKSL1/PDLIM5/TCAP/MYL2/TNNC1/MYH7/GAPDH/B4GALT1/MYH3/ACTA1/PIP/CDH1/DSTN/SYNM/CALD1/SYNPO2/TPM1/CORO1B",37
"GO:0097718","GO:0097718","disordered domain specific binding","4/403","20/5050",0.0697153420684061,0.377269268301755,0.336029307799134,"HSP90AA1/HSP90AB1/GAPDH/FN1",4
"GO:0019210","GO:0019210","kinase inhibitor activity","6/403","37/5050",0.070133389620198,0.377269268301755,0.336029307799134,"RACK1/PPP1R1B/HSPB1/SOCS3/CDKN1A/SFN",6
"GO:0009055","GO:0009055","electron transfer activity","10/403","75/5050",0.072846670167813,0.387411836801551,0.345063174479114,"COX8A/NDUFB7/ND1/ND6/NDUFS5/ND4L/NDUFA1/ND2/MAOB/ND5",10
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding","7/403","47/5050",0.0768519883169573,0.404120567779056,0.359945444985394,"EEF1A1/EEF1B2/EEF1A2/EEF2/PABPC1/EIF4G2/EIF5A",7
"GO:0015035","GO:0015035","protein-disulfide reductase activity","4/403","21/5050",0.0809307699614311,0.420840003799442,0.374837250347681,"TXN/P4HB/PDIA3/PDIA4",4
"GO:0022804","GO:0022804","active transmembrane transporter activity","16/403","139/5050",0.0857150653766501,0.437677665355996,0.38983435780696,"COX8A/NDUFB7/ND1/ND6/NDUFS5/ND4L/SLC45A3/NDUFA1/ND2/SLC25A6/ABCC4/ND5/ATP6V1G1/SLC26A3/SLCO2A1/ATP5F1B",16
"GO:0046332","GO:0046332","SMAD binding","5/403","30/5050",0.0860391991725461,0.437677665355996,0.38983435780696,"PMEPA1/FOS/FLNA/COL1A2/JUN",5
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","4/403","22/5050",0.0929773006836735,0.463204784796047,0.412571063381095,"COL1A2/COL9A2/COL3A1/COL1A1",4
"GO:0015605","GO:0015605","organophosphate ester transmembrane transporter activity","3/403","14/5050",0.0950163661120097,0.463204784796047,0.412571063381095,"SLC25A6/SLC44A4/ABCC4",3
"GO:0031210","GO:0031210","phosphatidylcholine binding","3/403","14/5050",0.0950163661120097,0.463204784796047,0.412571063381095,"IGHM/JCHAIN/SERPINA5",3
"GO:1901618","GO:1901618","organic hydroxy compound transmembrane transporter activity","3/403","14/5050",0.0950163661120097,0.463204784796047,0.412571063381095,"ABCC4/AQP2/AQP3",3
"GO:0003730","GO:0003730","mRNA 3'-UTR binding","6/403","41/5050",0.10424677110736,0.5029638028685,0.447983953971943,"ZFP36/RPL5/PABPC1/RPS7/ZFP36L1/RPL41",6
"GO:0015036","GO:0015036","disulfide oxidoreductase activity","4/403","23/5050",0.105819014409878,0.505339783100231,0.450100211668222,"TXN/P4HB/PDIA3/PDIA4",4
"GO:0015144","GO:0015144","carbohydrate transmembrane transporter activity","3/403","15/5050",0.112049068130272,0.522684730415642,0.465549152596928,"SLC45A3/AQP2/AQP3",3
"GO:0015459","GO:0015459","potassium channel regulator activity","3/403","15/5050",0.112049068130272,0.522684730415642,0.465549152596928,"YWHAE/FLNA/CAV1",3
"GO:1901681","GO:1901681","sulfur compound binding","13/403","113/5050",0.113864854561646,0.522684730415642,0.465549152596928,"LTF/GNMT/CCN1/RPL29/CCN2/APLP2/MMP7/MDK/LPL/SERPINA5/PTN/FN1/FSTL1",13
"GO:0008135","GO:0008135","translation factor activity, RNA binding","6/403","42/5050",0.11391846688546,0.522684730415642,0.465549152596928,"EEF1A1/EEF1B2/EEF1A2/EEF2/EIF4G2/EIF5A",6
"GO:0031072","GO:0031072","heat shock protein binding","7/403","52/5050",0.11699487562521,0.523673417137782,0.466429764252275,"HSP90AB1/HSPA8/HSPA5/ZFP36/RPS3/HSPA6/HSPA1B",7
"GO:0051015","GO:0051015","actin filament binding","12/403","103/5050",0.11704251164114,0.523673417137782,0.466429764252275,"TAGLN/MYH11/TPM2/FLNA/EEF2/MARCKSL1/TNNC1/MYH7/MYH3/DSTN/TPM1/CORO1B",12
"GO:0051219","GO:0051219","phosphoprotein binding","5/403","33/5050",0.118295348569127,0.523673417137782,0.466429764252275,"YWHAE/PFN1/PLAT/SOCS3/SFN",5
